,Keyword,dhq_total_keyword_count,jca_total_keyword_count,jooch_total_keyword_count,dsh_total_keyword_count,total_keyword_count,Significance score,Year,# of articles keyword DHQ,# of articles keyword JCA,# of articles keyword JOCCH,# of articles keyword DSH,DHQ_yearly_total,JCA_yearly_total,JOOCH_yearly_total,DSH_yearly_total,Rank,Size
0,algorithm,7,0,20,41,68,0.7,2008.0,0,0,0,2,6.0,0.0,12.0,38.0,22,29
1,algorithm,7,0,20,41,68,0.7,2010.0,0,0,0,1,22.0,0.0,10.0,29.0,22,29
2,algorithm,7,0,20,41,68,0.7,2011.0,0,0,2,0,20.0,0.0,20.0,50.0,22,29
3,algorithm,7,0,20,41,68,0.7,2012.0,0,0,1,0,28.0,0.0,12.0,55.0,22,29
4,algorithm,7,0,20,41,68,0.7,2013.0,1,0,2,4,30.0,0.0,24.0,92.0,22,29
5,algorithm,7,0,20,41,68,0.7,2014.0,0,0,1,0,28.0,0.0,21.0,70.0,22,29
6,algorithm,7,0,20,41,68,0.7,2015.0,0,0,0,2,34.0,0.0,33.0,69.0,22,29
7,algorithm,7,0,20,41,68,0.7,2016.0,0,0,2,0,53.0,11.0,17.0,65.0,22,29
8,algorithm,7,0,20,41,68,0.7,2017.0,1,0,3,2,54.0,7.0,32.0,68.0,22,29
9,algorithm,7,0,20,41,68,0.7,2018.0,0,0,1,3,62.0,13.0,17.0,78.0,22,29
10,algorithm,7,0,20,41,68,0.7,2019.0,0,0,2,3,39.0,28.0,32.0,93.0,22,29
11,algorithm,7,0,20,41,68,0.7,2020.0,1,0,1,2,68.0,26.0,44.0,69.0,22,29
12,algorithm,7,0,20,41,68,0.7,2021.0,0,0,0,4,69.0,31.0,60.0,122.0,22,29
13,algorithm,7,0,20,41,68,0.7,2022.0,2,0,1,1,79.0,16.0,74.0,98.0,22,29
14,algorithm,7,0,20,41,68,0.7,2023.0,2,0,4,2,64.0,19.0,86.0,73.0,22,29
15,analysis,34,10,34,87,165,0.95,2007.0,0,0,0,1,13.0,0.0,0.0,45.0,3,48
16,analysis,34,10,34,87,165,0.95,2008.0,0,0,0,2,6.0,0.0,12.0,38.0,3,48
17,analysis,34,10,34,87,165,0.95,2009.0,1,0,0,0,47.0,0.0,6.0,51.0,3,48
18,analysis,34,10,34,87,165,0.95,2011.0,0,0,2,1,20.0,0.0,20.0,50.0,3,48
19,analysis,34,10,34,87,165,0.95,2012.0,1,0,0,3,28.0,0.0,12.0,55.0,3,48
20,analysis,34,10,34,87,165,0.95,2013.0,1,0,2,5,30.0,0.0,24.0,92.0,3,48
21,analysis,34,10,34,87,165,0.95,2014.0,0,0,3,3,28.0,0.0,21.0,70.0,3,48
22,analysis,34,10,34,87,165,0.95,2015.0,0,0,4,6,34.0,0.0,33.0,69.0,3,48
23,analysis,34,10,34,87,165,0.95,2016.0,1,1,2,3,53.0,11.0,17.0,65.0,3,48
24,analysis,34,10,34,87,165,0.95,2017.0,7,0,3,6,54.0,7.0,32.0,68.0,3,48
25,analysis,34,10,34,87,165,0.95,2018.0,2,0,2,7,62.0,13.0,17.0,78.0,3,48
26,analysis,34,10,34,87,165,0.95,2019.0,1,1,3,6,39.0,28.0,32.0,93.0,3,48
27,analysis,34,10,34,87,165,0.95,2020.0,6,0,2,2,68.0,26.0,44.0,69.0,3,48
28,analysis,34,10,34,87,165,0.95,2021.0,6,3,4,8,69.0,31.0,60.0,122.0,3,48
29,analysis,34,10,34,87,165,0.95,2022.0,5,2,5,9,79.0,16.0,74.0,98.0,3,48
30,analysis,34,10,34,87,165,0.95,2023.0,3,3,2,1,64.0,19.0,86.0,73.0,3,48
31,annotation,8,4,13,29,54,0.75,2007.0,0,0,0,2,13.0,0.0,0.0,45.0,20,31
32,annotation,8,4,13,29,54,0.75,2008.0,0,0,0,1,6.0,0.0,12.0,38.0,20,31
33,annotation,8,4,13,29,54,0.75,2009.0,0,0,0,3,47.0,0.0,6.0,51.0,20,31
34,annotation,8,4,13,29,54,0.75,2010.0,1,0,0,0,22.0,0.0,10.0,29.0,20,31
35,annotation,8,4,13,29,54,0.75,2012.0,0,0,1,0,28.0,0.0,12.0,55.0,20,31
36,annotation,8,4,13,29,54,0.75,2013.0,0,0,1,1,30.0,0.0,24.0,92.0,20,31
37,annotation,8,4,13,29,54,0.75,2014.0,0,0,1,2,28.0,0.0,21.0,70.0,20,31
38,annotation,8,4,13,29,54,0.75,2015.0,0,0,0,2,34.0,0.0,33.0,69.0,20,31
39,annotation,8,4,13,29,54,0.75,2016.0,1,0,0,3,53.0,11.0,17.0,65.0,20,31
40,annotation,8,4,13,29,54,0.75,2017.0,1,0,1,1,54.0,7.0,32.0,68.0,20,31
41,annotation,8,4,13,29,54,0.75,2018.0,0,0,1,0,62.0,13.0,17.0,78.0,20,31
42,annotation,8,4,13,29,54,0.75,2019.0,1,3,0,2,39.0,28.0,32.0,93.0,20,31
43,annotation,8,4,13,29,54,0.75,2020.0,1,0,0,1,68.0,26.0,44.0,69.0,20,31
44,annotation,8,4,13,29,54,0.75,2021.0,0,1,2,2,69.0,31.0,60.0,122.0,20,31
45,annotation,8,4,13,29,54,0.75,2022.0,2,0,3,1,79.0,16.0,74.0,98.0,20,31
46,annotation,8,4,13,29,54,0.75,2023.0,1,0,2,1,64.0,19.0,86.0,73.0,20,31
47,annotation,8,4,13,29,54,0.75,2024.0,0,0,1,0,0.0,0.0,16.0,0.0,20,31
48,application,7,0,15,13,35,0.85,2007.0,0,0,0,1,13.0,0.0,0.0,45.0,6,45
49,application,7,0,15,13,35,0.85,2009.0,0,0,0,1,47.0,0.0,6.0,51.0,6,45
50,application,7,0,15,13,35,0.85,2010.0,0,0,0,1,22.0,0.0,10.0,29.0,6,45
51,application,7,0,15,13,35,0.85,2011.0,0,0,0,1,20.0,0.0,20.0,50.0,6,45
52,application,7,0,15,13,35,0.85,2013.0,0,0,1,0,30.0,0.0,24.0,92.0,6,45
53,application,7,0,15,13,35,0.85,2014.0,1,0,2,1,28.0,0.0,21.0,70.0,6,45
54,application,7,0,15,13,35,0.85,2015.0,0,0,1,0,34.0,0.0,33.0,69.0,6,45
55,application,7,0,15,13,35,0.85,2016.0,0,0,1,0,53.0,11.0,17.0,65.0,6,45
56,application,7,0,15,13,35,0.85,2017.0,0,0,2,0,54.0,7.0,32.0,68.0,6,45
57,application,7,0,15,13,35,0.85,2018.0,1,0,0,0,62.0,13.0,17.0,78.0,6,45
58,application,7,0,15,13,35,0.85,2019.0,0,0,1,0,39.0,28.0,32.0,93.0,6,45
59,application,7,0,15,13,35,0.85,2020.0,2,0,1,1,68.0,26.0,44.0,69.0,6,45
60,application,7,0,15,13,35,0.85,2021.0,2,0,1,0,69.0,31.0,60.0,122.0,6,45
61,application,7,0,15,13,35,0.85,2022.0,0,0,2,0,79.0,16.0,74.0,98.0,6,45
62,application,7,0,15,13,35,0.85,2023.0,1,0,3,2,64.0,19.0,86.0,73.0,6,45
63,classification,5,1,9,35,50,0.8,2008.0,0,0,1,1,6.0,0.0,12.0,38.0,10,41
64,classification,5,1,9,35,50,0.8,2010.0,0,0,1,1,22.0,0.0,10.0,29.0,10,41
65,classification,5,1,9,35,50,0.8,2011.0,0,0,1,3,20.0,0.0,20.0,50.0,10,41
66,classification,5,1,9,35,50,0.8,2012.0,0,0,0,3,28.0,0.0,12.0,55.0,10,41
67,classification,5,1,9,35,50,0.8,2013.0,0,0,0,3,30.0,0.0,24.0,92.0,10,41
68,classification,5,1,9,35,50,0.8,2014.0,1,0,0,3,28.0,0.0,21.0,70.0,10,41
69,classification,5,1,9,35,50,0.8,2015.0,1,0,0,1,34.0,0.0,33.0,69.0,10,41
70,classification,5,1,9,35,50,0.8,2016.0,0,0,0,1,53.0,11.0,17.0,65.0,10,41
71,classification,5,1,9,35,50,0.8,2017.0,0,1,1,1,54.0,7.0,32.0,68.0,10,41
72,classification,5,1,9,35,50,0.8,2018.0,0,0,0,2,62.0,13.0,17.0,78.0,10,41
73,classification,5,1,9,35,50,0.8,2019.0,0,0,1,0,39.0,28.0,32.0,93.0,10,41
74,classification,5,1,9,35,50,0.8,2020.0,0,0,0,1,68.0,26.0,44.0,69.0,10,41
75,classification,5,1,9,35,50,0.8,2021.0,1,0,0,1,69.0,31.0,60.0,122.0,10,41
76,classification,5,1,9,35,50,0.8,2022.0,1,0,2,4,79.0,16.0,74.0,98.0,10,41
77,classification,5,1,9,35,50,0.8,2023.0,1,0,2,5,64.0,19.0,86.0,73.0,10,41
78,clustering,3,0,6,20,29,0.85,2007.0,0,0,0,1,13.0,0.0,0.0,45.0,7,44
79,clustering,3,0,6,20,29,0.85,2013.0,0,0,0,4,30.0,0.0,24.0,92.0,7,44
80,clustering,3,0,6,20,29,0.85,2014.0,0,0,0,1,28.0,0.0,21.0,70.0,7,44
81,clustering,3,0,6,20,29,0.85,2015.0,1,0,0,1,34.0,0.0,33.0,69.0,7,44
82,clustering,3,0,6,20,29,0.85,2016.0,0,0,0,1,53.0,11.0,17.0,65.0,7,44
83,clustering,3,0,6,20,29,0.85,2017.0,0,0,2,0,54.0,7.0,32.0,68.0,7,44
84,clustering,3,0,6,20,29,0.85,2018.0,0,0,0,1,62.0,13.0,17.0,78.0,7,44
85,clustering,3,0,6,20,29,0.85,2019.0,1,0,0,1,39.0,28.0,32.0,93.0,7,44
86,clustering,3,0,6,20,29,0.85,2020.0,0,0,0,1,68.0,26.0,44.0,69.0,7,44
87,clustering,3,0,6,20,29,0.85,2021.0,1,0,0,3,69.0,31.0,60.0,122.0,7,44
88,clustering,3,0,6,20,29,0.85,2022.0,0,0,1,1,79.0,16.0,74.0,98.0,7,44
89,clustering,3,0,6,20,29,0.85,2023.0,0,0,1,1,64.0,19.0,86.0,73.0,7,44
90,clustering,3,0,6,20,29,0.85,2024.0,0,0,2,0,0.0,0.0,16.0,0.0,7,44
91,coding,4,0,0,2,6,0.8,2016.0,1,0,0,0,53.0,11.0,17.0,65.0,19,32
92,coding,4,0,0,2,6,0.8,2017.0,1,0,0,0,54.0,7.0,32.0,68.0,19,32
93,coding,4,0,0,2,6,0.8,2022.0,1,0,0,1,79.0,16.0,74.0,98.0,19,32
94,coding,4,0,0,2,6,0.8,2023.0,1,0,0,0,64.0,19.0,86.0,73.0,19,32
95,color,1,0,9,0,10,0.7,2011.0,0,0,1,0,20.0,0.0,20.0,50.0,37,14
96,color,1,0,9,0,10,0.7,2013.0,0,0,2,0,30.0,0.0,24.0,92.0,37,14
97,color,1,0,9,0,10,0.7,2015.0,0,0,2,0,34.0,0.0,33.0,69.0,37,14
98,color,1,0,9,0,10,0.7,2018.0,1,0,0,0,62.0,13.0,17.0,78.0,37,14
99,color,1,0,9,0,10,0.7,2019.0,0,0,2,0,39.0,28.0,32.0,93.0,37,14
100,color,1,0,9,0,10,0.7,2021.0,0,0,1,0,69.0,31.0,60.0,122.0,37,14
101,color,1,0,9,0,10,0.7,2023.0,0,0,1,0,64.0,19.0,86.0,73.0,37,14
102,computational tools,23,13,6,29,71,0.85,2008.0,0,0,1,1,6.0,0.0,12.0,38.0,4,47
