,Keyword,dhq_total_keyword_count,jca_total_keyword_count,jooch_total_keyword_count,total_keyword_count,Significance score,Year,# of articles keyword DHQ,# of articles keyword JCA,# of articles keyword JOCCH,DHQ_yearly_total,JCA_yearly_total,JOOCH_yearly_total,Rank,Size
0,data,25,9,37,71,1.0,2010,1,0,1,22,0,10,1,49
1,visualization,28,3,23,54,1.0,2019,7,0,4,39,28,32,2,48
2,data,25,9,37,71,1.0,2011,1,0,3,20,0,20,1,49
3,data,25,9,37,71,1.0,2020,6,2,2,68,26,44,1,49
4,visualization,28,3,23,54,1.0,2011,0,0,3,20,0,20,2,48
5,data,25,9,37,71,1.0,2019,2,2,3,39,28,32,1,49
6,data,25,9,37,71,1.0,2014,3,0,1,28,0,21,1,49
7,data,25,9,37,71,1.0,2022,1,1,9,79,16,74,1,49
8,data,25,9,37,71,1.0,2015,0,0,3,34,0,33,1,49
9,data,25,9,37,71,1.0,2023,2,1,6,41,19,86,1,49
10,visualization,28,3,23,54,1.0,2020,5,1,1,68,26,44,2,48
11,data,25,9,37,71,1.0,2018,2,0,2,62,13,17,1,49
12,visualization,28,3,23,54,1.0,2018,3,0,1,62,13,17,2,48
13,data,25,9,37,71,1.0,2013,1,0,1,30,0,24,1,49
14,visualization,28,3,23,54,1.0,2013,1,0,1,30,0,24,2,48
15,data,25,9,37,71,1.0,2017,0,1,3,54,7,32,1,49
16,information,3,4,15,22,1.0,2018,2,0,1,62,13,17,3,47
17,visualization,28,3,23,54,1.0,2015,0,0,2,34,0,33,2,48
18,visualization,28,3,23,54,1.0,2022,1,0,6,79,16,74,2,48
19,information,3,4,15,22,1.0,2015,0,0,2,34,0,33,3,47
20,data,25,9,37,71,1.0,2009,1,0,0,47,0,6,1,49
21,visualization,28,3,23,54,1.0,2009,1,0,0,47,0,6,2,48
22,data,25,9,37,71,1.0,2021,5,1,0,69,32,60,1,49
23,visualization,28,3,23,54,1.0,2021,5,1,0,69,32,60,2,48
24,information,3,4,15,22,1.0,2019,0,0,3,39,28,32,3,47
25,data,25,9,37,71,1.0,2016,0,1,1,53,11,17,1,49
26,visualization,28,3,23,54,1.0,2016,1,1,0,53,11,17,2,48
27,visualization,28,3,23,54,1.0,2017,2,0,1,54,7,32,2,48
28,information,3,4,15,22,1.0,2016,0,0,2,53,11,17,3,47
29,information,3,4,15,22,1.0,2013,0,0,1,30,0,24,3,47
30,visualization,28,3,23,54,1.0,2023,2,0,2,41,19,86,2,48
31,information,3,4,15,22,1.0,2011,1,0,0,20,0,20,3,47
32,information,3,4,15,22,1.0,2023,0,1,3,41,19,86,3,47
33,visualization,28,3,23,54,1.0,2014,0,0,1,28,0,21,2,48
34,information,3,4,15,22,1.0,2014,0,0,1,28,0,21,3,47
35,information,3,4,15,22,1.0,2022,0,1,1,79,16,74,3,47
36,information,3,4,15,22,1.0,2020,0,1,0,68,26,44,3,47
37,information,3,4,15,22,1.0,2021,0,1,0,69,32,60,3,47
38,model/modeling,14,2,40,56,0.9,2010,2,0,2,22,0,10,4,46
39,model/modeling,14,2,40,56,0.9,2015,1,0,3,34,0,33,4,46
40,model/modeling,14,2,40,56,0.9,2011,1,0,2,20,0,20,4,46
41,model/modeling,14,2,40,56,0.9,2012,0,0,1,28,0,12,4,46
42,graph,3,1,3,7,0.9,2012,1,0,0,28,0,12,7,43
43,representation,8,5,17,30,0.9,2016,1,0,3,53,11,17,5,45
44,model/modeling,14,2,40,56,0.9,2020,0,1,5,68,26,44,4,46
45,model/modeling,14,2,40,56,0.9,2018,2,0,2,62,13,17,4,46
46,model/modeling,14,2,40,56,0.9,2023,0,0,6,41,19,86,4,46
47,model/modeling,14,2,40,56,0.9,2022,1,0,6,79,16,74,4,46
48,representation,8,5,17,30,0.9,2021,1,0,7,69,32,60,5,45
49,model/modeling,14,2,40,56,0.9,2017,2,0,2,54,7,32,4,46
50,representation,8,5,17,30,0.9,2018,2,0,1,62,13,17,5,45
51,model/modeling,14,2,40,56,0.9,2021,1,0,5,69,32,60,4,46
52,representation,8,5,17,30,0.9,2009,1,0,0,47,0,6,5,45
53,machine learning,7,5,12,24,0.9,2009,1,0,0,47,0,6,6,44
54,model/modeling,14,2,40,56,0.9,2014,1,0,3,28,0,21,4,46
55,machine learning,7,5,12,24,0.9,2022,0,1,5,79,16,74,6,44
56,representation,8,5,17,30,0.9,2023,1,3,1,41,19,86,5,45
57,machine learning,7,5,12,24,0.9,2020,1,1,2,68,26,44,6,44
58,model/modeling,14,2,40,56,0.9,2016,0,0,1,53,11,17,4,46
59,graph,3,1,3,7,0.9,2013,0,0,1,30,0,24,7,43
60,representation,8,5,17,30,0.9,2011,0,0,1,20,0,20,5,45
61,model/modeling,14,2,40,56,0.9,2019,1,0,0,39,28,32,4,46
62,machine learning,7,5,12,24,0.9,2021,3,0,1,69,32,60,6,44
63,machine learning,7,5,12,24,0.9,2019,1,1,0,39,28,32,6,44
64,representation,8,5,17,30,0.9,2015,0,0,1,34,0,33,5,45
65,representation,8,5,17,30,0.9,2014,0,0,1,28,0,21,5,45
66,graph,3,1,3,7,0.9,2014,1,0,0,28,0,21,7,43
67,representation,8,5,17,30,0.9,2022,1,1,1,79,16,74,5,45
68,machine learning,7,5,12,24,0.9,2016,0,1,0,53,11,17,6,44
69,machine learning,7,5,12,24,0.9,2018,1,0,0,62,13,17,6,44
70,model/modeling,14,2,40,56,0.9,2013,2,0,0,30,0,24,4,46
71,machine learning,7,5,12,24,0.9,2023,0,1,1,41,19,86,6,44
